sub,intercept,beta,w_raw,w_transformed
1,1.0743652855969614,6.999136494848509,-2.2448983426261337,0.012387329687155224
3,0.8571055952272979,5.520835900577528,-4.621590017900178,1.904050134282631e-6
4,0.009123534474044362,7.751963835706052,-4.608057567610205,2.0322407183748226e-6
6,0.06114317032214882,8.842951938224367,-3.4344374802319035,0.0002968925139518741
8,0.9960682302995694,8.083327103286743,-3.60747500844305,0.00015459565432635047
9,1.2827691342579342,6.178860086808543,-4.423161969283184,4.86333826310581e-6
10,0.06811888408492214,11.389661052097026,-3.1214371498008626,0.0008998532960046157
12,0.4206182775195221,8.500888690334046,-3.2919405370935637,0.0004974932346326622
13,1.9433682812012727,11.23798507137403,-0.841391240026359,0.20006439566665885
14,0.6753149970720176,8.282994985462514,-4.155776308433145,1.6209244486031782e-5
15,1.8490438681991095,6.3233331887138,0.13180896851261809,0.5524323036987405
16,-0.502506438652449,12.47721748275579,-3.7460783948315646,8.981023999998783e-5
17,1.5219024551564073,5.098166443075389,-3.3960138496621193,0.0003418744989380773
18,-0.006144714593220924,11.521111588440792,-3.708832992144075,0.0001041083506575502
19,2.3895536802066117,7.033770972982013,-2.912968120520355,0.0017900557424951336
21,1.4868910595382674,6.02510350574607,-3.217150363307215,0.0006473536258175261
23,-0.09265851585150313,9.774728395078354,-3.2533145358088915,0.0005703357960019084
25,1.255660178323645,8.50542674096452,-3.5741012775110734,0.00017571644663894048
27,0.2289856283706378,8.749740121664544,-4.056320020218236,2.4925972033407184e-5
29,4.117366784630079,9.550011118920605,1.0381534433006816,0.8504006881775464
30,1.153036129522907,6.025073532706049,-4.419518442185642,4.946053999921318e-6
31,1.1708711172703636,6.528724055286316,-3.298334742691287,0.0004863005577864232
32,0.7051052922816728,5.39707742262728,-4.339965448152856,7.125256052453732e-6
33,1.7012589387715866,8.818122644426515,-1.221234162496674,0.11099868647102012
34,0.5429100741553383,8.409709844031505,-3.037440937120447,0.001192980785925668
35,1.9590428349512614,6.202550068638888,-4.00747246241297,3.068600734373872e-5
36,-1.3907715514352401,11.475031527563706,-4.954423775689409,3.6272473658005566e-7
37,-0.08309404965742005,8.964158923026584,-4.166810237794914,1.5444570979905592e-5
39,0.5043316992088696,4.535198074991023,-4.924924728197492,4.2196416927264835e-7
40,0.7538622689091629,5.887393500636969,-4.535763272043253,2.869776531633228e-6
41,1.9261767570866164,6.956704104208758,-3.401362157179869,0.0003352546708054738
43,0.7502418331857219,6.183784826714169,-4.185403502958036,1.423299900388253e-5
49,1.0242751964886319,5.88430131354011,-4.371696104136332,6.164252332019338e-6
50,-0.046537826564573455,7.168472901383218,-4.6729504011613106,1.4845174278188544e-6
52,0.6899127958602161,7.438085210450854,-3.686413146731861,0.0001137185068226243
54,0.818661111957741,6.747524578552857,-4.485355561375694,3.6396221996803924e-6
56,1.1491481293785608,4.93735328808701,-4.272764247840667,9.653227430239664e-6
60,-0.11068406800185403,7.861513262614276,-4.630497361422748,1.823942159751013e-6
61,0.6417731726959761,6.5410412387096475,-4.166778256438988,1.5446736981117315e-5
62,-1.212843196424126,13.038752238342047,-4.523236175286555,3.0450609314613963e-6
