sub,intercept,beta,learning_rate_raw_pos,learning_rate_raw_neg
1,0.42485215140561383,0.0635412796585119,-1.7857695317389752,-1.8780845303499791
3,-5.944984896922623,0.03701995839851921,-1.7195564091280298,-3.2437694413446705
4,-0.24220470555335136,0.07751516595682129,-3.475957981502005,-3.434258558504938
6,-2.2278886831817655,0.07502612099150355,-2.22277125263434,-2.511914660183053
8,1.5918367824838744,0.08814186063824503,-2.104885990949584,-2.010058635970412
9,0.16041786768467753,0.06962914715756637,-3.101686567753667,-3.3105321648501542
10,-3.6082420825205612,0.11382517118092123,-2.677805664822978,-3.086626218649254
12,-3.2698897308653736,0.06971776403474117,-1.812387336906618,-2.347201369553218
13,0.5938673215158023,0.11707437934655486,-3.33465625892522,-3.117032125395415
14,-1.172540295004171,0.08412720551535727,-2.840734844543896,-3.151736480815441
15,-4.893253994097422,0.04857728902230102,-2.9213934068252243,-3.7245167674926134
16,-4.681126579681022,0.13003584767826734,-2.742654766137498,-3.053715967073945
17,-0.7092236078770375,0.03438722841510699,-2.596706386686262,-3.0286907913596064
18,-3.039617320972564,0.11728040449346461,-2.3469561550789777,-2.603387702841109
19,0.5680111859852766,0.07222554678233029,-2.861655419748777,-3.160135134108958
21,-0.8114813929552002,0.05332362857916418,-2.7489918868972376,-3.0997022904779272
23,-3.242285377011365,0.08131185338636653,-2.369655297157267,-2.7522704451562157
25,-2.5031983103776216,0.09831434041568626,-2.1482862334726716,-2.6448956510175594
27,-3.834313127841856,0.07122127912267666,-1.7598858073725083,-2.2592876063717644
29,4.516744342393871,0.10832949165996514,-2.6638700821232613,-1.392248857552479
30,-5.675918817946198,0.0697346314845965,-1.4489496219750049,-2.535902552503615
31,0.20273273646439066,0.06272570412548699,-2.9554887960929386,-3.058568863614315
32,-2.422162621642604,0.044135713372838115,-2.286450732963044,-2.921830658638257
33,0.5181735568082287,0.0857431618398151,-3.291098377937734,-3.163805983894427
34,-1.6299748584392653,0.07532146176324844,-2.799562917064124,-3.231976568190753
35,0.8689475218961126,0.06728444821067597,-3.2251858137840563,-3.567138823748005
36,-6.146161849857065,0.10592756420659213,-3.0385044540287542,-3.345460079209785
37,-2.212109041091947,0.0821951640237514,-2.563981383005204,-2.824368264208866
39,-4.619553888031197,0.022333459371917476,-2.176037686476797,-3.6997011047024246
40,-1.6271232109918738,0.0510631299318219,-2.7275055802491845,-3.0573355066318304
41,0.15530957801734913,0.08140116250164413,-2.869705544995792,-3.436467895997025
43,-4.6400789449019655,0.08772337336969815,-2.256681601452958,-2.9316958619049687
49,-0.14775111966145457,0.05205701545372898,-2.715897148142007,-2.890809453555145
50,-1.1883363282620767,0.06335182975593139,-2.0652780080839603,-2.2610200390900266
52,-3.308456258516752,0.08680827234700911,-2.4946573814026674,-3.0130503602304937
54,-2.8698908306666113,0.05514991840391698,-1.9593449722927367,-2.57990265686051
56,0.032117330763301206,0.05233893140022129,-3.152222446180258,-3.763310252140067
60,-2.0190874940226715,0.07636112587510874,-3.136347971963767,-3.543407356469487
61,-0.6124506452845057,0.05856739456492032,-2.5911067245952197,-2.854074867056544
62,-3.0484177456497643,0.10049494130221219,-3.176208813618292,-3.3279102392030824
