rank,block,order_condition,acceptance_rates,sem
HRLD,rich,all,0.971537399763663,0.000144007954859272
LRLD,rich,all,0.370459532082017,0.000920790133816055
HRHD,rich,all,0.506578585950363,0.00142570197758359
LRHD,rich,all,0.0690353380985381,0.000665678257134794
intermediate,rich,all,0.43862718507663,0.00105728204274871
HRLD,poor,all,0.979396641758426,0.000185211648982441
LRLD,poor,all,0.47295125784346,0.000942949472998369
HRHD,poor,all,0.839458041870321,0.000723713286121068
LRHD,poor,all,0.132534848580764,0.000695464875370879
intermediate,poor,all,0.656240533151628,0.000723938649876851
HRLD,rich,richpoor,0.971102011341531,0.000209629080812525
LRLD,rich,richpoor,0.368693028995529,0.0013369662711132
HRHD,rich,richpoor,0.494112676037488,0.00214768696278562
LRHD,rich,richpoor,0.0672826611214052,0.00097116242104454
intermediate,rich,richpoor,0.43148630150353,0.00157115436191681
HRLD,poor,richpoor,0.978644852435043,0.000271733108175819
LRLD,poor,richpoor,0.46792363475794,0.00137081663539212
HRHD,poor,richpoor,0.815879831289635,0.0011605281216619
LRHD,poor,richpoor,0.127242522719707,0.00102568467476522
intermediate,poor,richpoor,0.64194819458292,0.00110537349429456
HRLD,rich,poorrich,0.971972706206651,0.000205784147294639
LRLD,rich,poorrich,0.372733467132576,0.00130653660634085
HRHD,rich,poorrich,0.519457726393101,0.00201943674909628
LRHD,rich,poorrich,0.0707231111868075,0.000948872795962702
intermediate,rich,poorrich,0.446263086969764,0.00148132939556693
HRLD,poor,poorrich,0.980090881374211,0.000257162948611272
LRLD,poor,poorrich,0.477860787270157,0.00133468193535204
HRHD,poor,poorrich,0.862835525526954,0.000899944389176427
LRHD,poor,poorrich,0.137700470392775,0.000992818329182807
intermediate,poor,poorrich,0.670381646249485,0.00096868775322725
